 waffle ,smear,chicken,drizzel,side,price,calories,protein,sodium,carbs,energy,num_occ
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,692.4,38.7,792.7,95.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,620.4,47.7,597.7,65.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,675.0,35.7,1429.0,77.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,693.0,35.7,1079.0,80.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,688.0,35.7,884.0,74.0,21.75,1
The Gingerbread,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),22.75,639.9,34.9,1663.0,83.3,22.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,673.4,35.7,827.7,80.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,691.0,40.7,1009.0,67.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,692.4,30.7,1177.7,84.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,667.0,40.7,839.0,60.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,671.0,40.7,924.0,67.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,690.4,30.7,787.7,87.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,696.4,30.7,1262.7,91.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,656.0,41.7,1084.0,74.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,667.0,40.7,839.0,60.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,693.0,35.7,1079.0,80.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,692.4,38.7,792.7,95.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,597.4,40.7,337.7,74.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,677.4,35.7,912.7,87.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,673.0,35.7,1039.0,80.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,691.0,40.7,1009.0,67.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,582.4,41.7,497.7,81.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,690.4,30.7,742.7,87.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,620.4,47.7,597.7,65.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,690.0,47.7,1099.0,51.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),21.75,651.4,41.7,241.7,91.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Caramel & Salted Cashew,Fresh-Cut Fruit,21.75,629.4,39.7,272.7,90.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,679.0,48.7,1344.0,65.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,616.4,35.7,732.7,78.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,673.0,40.7,1359.0,64.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,675.4,35.7,1217.7,77.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),21.75,653.4,40.7,626.7,87.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,696.4,43.7,1092.7,72.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,673.0,36.7,1044.0,81.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,690.4,30.7,742.7,87.0,21.75,1
Sweet Potato,Vanilla-Almond,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,682.4,35.7,1062.7,93.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,667.0,41.7,889.0,61.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,694.0,48.7,1234.0,59.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,667.0,40.7,884.0,60.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,593.4,41.7,302.7,68.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,685.4,42.7,1237.7,84.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Fresh-Cut Fruit,21.75,688.4,35.7,236.7,97.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Fresh-Cut Fruit,21.75,670.4,35.7,586.7,94.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Caramel & Salted Cashew,Sautéed Squash & Onions,21.75,637.4,50.7,957.7,70.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,612.4,44.7,312.7,83.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,605.4,47.7,752.7,71.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,694.4,31.7,877.7,95.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,677.4,36.7,917.7,88.0,21.75,1
Sweet Potato,Baby-Blueberry,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,643.4,41.7,297.7,73.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,679.0,47.7,1339.0,64.0,21.75,1
Sweet Potato,Maple-Pecan,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,692.4,41.7,392.7,83.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,673.0,35.7,1039.0,80.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,610.4,36.7,262.7,75.0,21.75,1
Sweet Potato,Vanilla-Almond,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,699.4,30.7,1022.7,100.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,658.0,40.7,1469.0,70.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,685.4,42.7,1282.7,84.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,688.0,35.7,884.0,74.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,692.4,30.7,1177.7,84.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,612.4,35.7,647.7,71.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,694.0,47.7,1184.0,58.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,664.4,35.7,1412.7,90.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,614.4,35.7,297.7,81.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,675.0,35.7,1429.0,77.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,656.0,40.7,1079.0,73.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,696.4,43.7,1092.7,72.0,21.75,1
Sweet Potato,Peach-Apricot,A panko-crusted chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,694.4,31.7,877.7,95.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Candied Pecans,Mean Collard Greens (Spicy),21.75,681.4,42.7,704.7,71.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,693.0,35.7,1079.0,80.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Candied Pecans,Fresh-Cut Fruit,21.75,696.4,37.7,274.7,81.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,694.4,30.7,827.7,94.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,698.4,42.7,1477.7,68.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,582.4,41.7,497.7,81.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,690.4,30.7,742.7,87.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,696.4,42.7,1087.7,71.0,21.75,1
Sweet Potato,Orange-Honeycomb,A panko-crusted chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,692.4,38.7,792.7,95.0,21.75,1
Sweet Potato,Baby-Blueberry,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,647.4,41.7,382.7,80.0,21.75,1
Sweet Potato,Strawberry-Creme,A panko-crusted chicken cutlet,Honey Dijon,Fresh-Cut Fruit,21.75,690.4,30.7,787.7,87.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,602.4,40.7,532.7,80.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,582.4,40.7,492.7,80.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,690.0,47.7,1099.0,51.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Candied Pecans,Mean Collard Greens (Spicy),21.75,699.4,42.7,354.7,74.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,597.4,40.7,382.7,74.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,614.4,35.7,342.7,81.0,21.75,1
Sweet Potato,Orange-Honeycomb,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,597.4,40.7,337.7,74.0,21.75,1
The Classic,Strawberry-Creme,A chicken cutlet,Caribbean Calypso,Fresh-Cut Fruit,21.75,688.0,35.7,929.0,74.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,582.4,40.7,492.7,80.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Caramel & Salted Cashew,Mean Collard Greens (Spicy),21.75,612.4,43.7,307.7,82.0,21.75,1
Sweet Potato,Strawberry-Creme,A chicken cutlet,Honey Dijon,Sautéed Squash & Onions,21.75,616.4,47.7,557.7,58.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,681.0,47.7,1729.0,61.0,21.75,1
Sweet Potato,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Mean Collard Greens (Spicy),21.75,651.4,41.7,241.7,91.0,21.75,1
Sweet Potato,Chocolate-Hazelnut,A chicken cutlet,Caribbean Calypso,Sautéed Squash & Onions,21.75,622.4,47.7,1032.7,62.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,667.0,40.7,839.0,60.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,675.0,35.7,1429.0,77.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,699.0,47.7,1379.0,64.0,21.75,1
The Classic,Orange-Honeycomb,A chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),21.75,667.0,40.7,839.0,60.0,21.75,1
The Classic,Peach-Apricot,A chicken cutlet,Asian Plum Sauce & Almonds,Sautéed Squash & Onions,21.75,679.0,48.7,1344.0,65.0,21.75,1
The Classic,Vanilla-Almond,A chicken cutlet,Caribbean Calypso,Mean Collard Greens (Spicy),21.75,691.0,40.7,1009.0,67.0,21.75,1
The Classic,Chocolate-Hazelnut,A chicken cutlet,Asian Plum Sauce & Almonds,Fresh-Cut Fruit,21.75,675.0,35.7,1429.0,77.0,21.75,1
Sweet Potato,Vanilla-Almond,A chicken cutlet,Asian Plum Sauce & Almonds,Mean Collard Greens (Spicy),21.75,602.4,40.7,532.7,80.0,21.75,1
The Vegan,Peach-Apricot,A chicken cutlet,Pure Warmed Vermont Maple Syrup,Fresh-Cut Fruit,22.75,662.9,33.6,1044.2,80.2,22.75,1
The Gingerbread,Vanilla-Almond,A panko-crusted chicken cutlet,Honey Dijon,Mean Collard Greens (Spicy),22.75,653.9,34.9,1228.0,79.3,22.75,1
The Gingerbread,Orange-Honeycomb,A chicken cutlet,Caramel & Salted Cashew,Smooth Grits,22.75,691.9,41.9,1163.0,108.3,22.75,1
The Gingerbread,Baby-Blueberry,Two chicken drumsticks,Caribbean Calypso,Mean Collard Greens (Spicy),23.75,687.9,42.2,733.0,79.3,23.75,1
